IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx,date
14090,3,8417,2024-01-01T00:22:15Z,NA,465,24100516,33957768,2024-01-01
14090,3,8417,2024-01-01T00:22:15Z,NA,1065,67919044,75347631,2024-01-01
14091,3,9023,2024-01-01T00:32:26Z,NA,454,17638307,17956639,2024-01-01
14092,3,9311,2024-01-01T00:35:26Z,NA,274,6013769,7702943,2024-01-01
14093,3,4968,2024-01-01T00:38:48Z,NA,72,1619874,1963684,2024-01-01
14094,3,6371,2024-01-01T00:34:16Z,NA,344,355864,467815,2024-01-01
14090,3,8417,2024-01-01T00:22:15Z,NA,1665,88376454,131195487,2024-01-01
14091,3,9023,2024-01-01T00:32:26Z,NA,1054,51355970,52752888,2024-01-01
14092,3,9311,2024-01-01T00:35:26Z,NA,874,11018691,13648063,2024-01-01
14093,3,4968,2024-01-01T00:38:48Z,NA,672,14402567,16447664,2024-01-01
14095,3,4080,2024-01-01T00:44:28Z,NA,332,28384673,29928607,2024-01-01
14094,3,6371,2024-01-01T00:34:16Z,NA,944,3470438,4652660,2024-01-01
14090,3,8417,2024-01-01T00:22:15Z,NA,2265,142098162,201010361,2024-01-01
14096,3,6269,2024-01-01T00:50:16Z,NA,584,223354161,455544881,2024-01-01
14091,3,9023,2024-01-01T00:32:26Z,NA,1654,44080707,60164954,2024-01-01
14092,3,9311,2024-01-01T00:35:26Z,NA,1474,15143099,17015231,2024-01-01
14093,3,4968,2024-01-01T00:38:48Z,NA,1272,26439798,28674987,2024-01-01
14095,3,4080,2024-01-01T00:44:28Z,NA,932,68001341,97081987,2024-01-01
14094,3,6371,2024-01-01T00:34:16Z,NA,1544,3439902,4094399,2024-01-01
14090,3,8417,2024-01-01T00:22:15Z,NA,2865,178002149,242966712,2024-01-01
14096,3,6269,2024-01-01T00:50:16Z,NA,1184,294743384,786055133,2024-01-01
14091,3,9023,2024-01-01T00:32:26Z,NA,2254,62514191,64707569,2024-01-01
14092,3,9311,2024-01-01T00:35:26Z,NA,2074,38296239,41131917,2024-01-01
14093,3,4968,2024-01-01T00:38:48Z,NA,1872,35930951,52496678,2024-01-01
14097,3,8555,2024-01-01T01:06:29Z,NA,211,7997977,11124731,2024-01-01
14095,3,4080,2024-01-01T00:44:28Z,NA,1532,123951755,124965911,2024-01-01
14094,3,6371,2024-01-01T00:34:16Z,NA,2144,6878308,7094261,2024-01-01
14098,3,7726,2024-01-01T01:01:48Z,NA,492,15568702,19068340,2024-01-01
14099,3,7430,2024-01-01T01:04:27Z,NA,333,15120766,21055246,2024-01-01
14100,3,6232,2024-01-01T01:12:56Z,NA,424,9107807,12905973,2024-01-01
14090,3,8417,2024-01-01T00:22:15Z,NA,3465,216604839,264552813,2024-01-01
14096,3,6269,2024-01-01T00:50:16Z,NA,1784,547136961,1134484168,2024-01-01
14091,3,9023,2024-01-01T00:32:26Z,NA,2854,77001012,103253995,2024-01-01
14092,3,9311,2024-01-01T00:35:26Z,NA,2674,41326609,60059918,2024-01-01
14093,3,4968,2024-01-01T00:38:48Z,NA,2472,60259021,68988413,2024-01-01
14097,3,8555,2024-01-01T01:06:29Z,NA,811,8115183,9989567,2024-01-01
