IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx,date
14579,3,6383,2024-01-03T00:25:45Z,NA,255,6272863,6797985,2024-01-03
14580,3,4626,2024-01-03T00:27:04Z,NA,176,3893601,4386597,2024-01-03
14581,3,4336,2024-01-03T00:28:14Z,NA,106,3996103,5259898,2024-01-03
14582,3,6883,2024-01-03T00:35:06Z,NA,294,2770754,3020400,2024-01-03
14583,3,4941,2024-01-03T00:30:04Z,NA,596,10425225,10729647,2024-01-03
14579,3,6383,2024-01-03T00:25:45Z,NA,855,27584358,29261023,2024-01-03
14584,3,6871,2024-01-03T00:33:08Z,NA,412,11634066,15747264,2024-01-03
14580,3,4626,2024-01-03T00:27:04Z,NA,776,10049808,12379716,2024-01-03
14581,3,4336,2024-01-03T00:28:14Z,NA,706,27772420,30608942,2024-01-03
14582,3,6883,2024-01-03T00:35:06Z,NA,894,7100368,9544767,2024-01-03
14583,3,4941,2024-01-03T00:30:04Z,NA,1196,42315660,55817657,2024-01-03
14579,3,6383,2024-01-03T00:25:45Z,NA,1455,34466358,42643700,2024-01-03
14584,3,6871,2024-01-03T00:33:08Z,NA,1012,42623004,55751735,2024-01-03
14580,3,4626,2024-01-03T00:27:04Z,NA,1376,18352824,21087423,2024-01-03
14581,3,4336,2024-01-03T00:28:14Z,NA,1306,30767478,45771160,2024-01-03
14585,3,9040,2024-01-03T00:57:57Z,NA,123,1277357,1753249,2024-01-03
14586,3,8229,2024-01-03T00:58:08Z,NA,112,2489975,3334333,2024-01-03
14582,3,6883,2024-01-03T00:35:06Z,NA,1494,26096289,34708719,2024-01-03
14587,3,9316,2024-01-03T00:55:16Z,NA,284,12824904,13007944,2024-01-03
14583,3,4941,2024-01-03T00:30:04Z,NA,1796,45266582,62613564,2024-01-03
14579,3,6383,2024-01-03T00:25:45Z,NA,2055,80140658,100473593,2024-01-03
14584,3,6871,2024-01-03T00:33:08Z,NA,1612,48185588,64329952,2024-01-03
14580,3,4626,2024-01-03T00:27:04Z,NA,1976,24981166,32533201,2024-01-03
14581,3,4336,2024-01-03T00:28:14Z,NA,1906,56334866,57340301,2024-01-03
14588,3,7007,2024-01-03T01:07:09Z,NA,171,9399806,10026544,2024-01-03
14585,3,9040,2024-01-03T00:57:57Z,NA,723,10043642,11480486,2024-01-03
14586,3,8229,2024-01-03T00:58:08Z,NA,712,14104055,19200913,2024-01-03
14582,3,6883,2024-01-03T00:35:06Z,NA,2094,16614211,19389013,2024-01-03
14587,3,9316,2024-01-03T00:55:16Z,NA,884,24752305,37001044,2024-01-03
14583,3,4941,2024-01-03T00:30:04Z,NA,2396,50682030,75873466,2024-01-03
14579,3,6383,2024-01-03T00:25:45Z,NA,2655,70620315,83392179,2024-01-03
14584,3,6871,2024-01-03T00:33:08Z,NA,2212,49504126,63068931,2024-01-03
14580,3,4626,2024-01-03T00:27:04Z,NA,2576,39352210,46993710,2024-01-03
14581,3,4336,2024-01-03T00:28:14Z,NA,2506,67037765,89512881,2024-01-03
14589,3,9588,2024-01-03T01:14:39Z,NA,321,5278004,7276233,2024-01-03
14588,3,7007,2024-01-03T01:07:09Z,NA,771,42827657,46749581,2024-01-03
14585,3,9040,2024-01-03T00:57:57Z,NA,1323,19228071,20831192,2024-01-03
14590,3,8770,2024-01-03T01:16:59Z,NA,181,1526031,1557991,2024-01-03
14586,3,8229,2024-01-03T00:58:08Z,NA,1312,29034271,31331185,2024-01-03
14582,3,6883,2024-01-03T00:35:06Z,NA,2694,78255217,91399518,2024-01-03
14587,3,9316,2024-01-03T00:55:16Z,NA,1484,48863744,71206290,2024-01-03
14583,3,4941,2024-01-03T00:30:04Z,NA,2996,49156776,64805410,2024-01-03
14579,3,6383,2024-01-03T00:25:45Z,NA,3255,95680896,112880704,2024-01-03
14584,3,6871,2024-01-03T00:33:08Z,NA,2812,108537882,153273788,2024-01-03
14580,3,4626,2024-01-03T00:27:04Z,NA,3176,41531422,55182329,2024-01-03
14581,3,4336,2024-01-03T00:28:14Z,NA,3106,102655330,118414970,2024-01-03
