IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx
14845,3,5925,04-01-2024 04:39:47,,30013,289772505,407228540
14833,3,8722,04-01-2024 03:58:44,,32476,5299659997,15407177984
14915,3,8434,04-01-2024 11:57:37,,3743,53766648,70232816
14878,3,5548,04-01-2024 08:41:33,,15507,151786386,194402181
14870,3,6906,04-01-2024 07:52:25,,18455,75020568,82214229
14877,3,4707,04-01-2024 08:36:43,,15797,283461106,284531111
14813,3,6310,04-01-2024 02:00:08,,39592,2014599711,2736802334
14848,3,6389,04-01-2024 04:43:06,,29814,13210441282,34289019211
14839,3,7413,04-01-2024 04:11:04,,31736,8536746035,20469670170
14859,3,4293,04-01-2024 05:41:57,,26283,414989546,440815500
14905,3,5195,04-01-2024 11:15:32,,6268,25661835,38025580
14879,3,3995,04-01-2024 08:45:21,,15279,106585790,159863102
14772,3,6736,03-01-2024 22:09:02,,53458,994737911,1107815338
14896,3,7037,04-01-2024 10:28:50,,9070,111718093,117291659
14923,3,4433,04-01-2024 12:24:01,,2159,612542368,1422123882
14856,3,8862,04-01-2024 05:17:41,,27739,766556836,963583653
14876,3,4207,04-01-2024 08:29:33,,16227,880648495,900969673
14883,3,9108,04-01-2024 08:50:51,,14949,268507182,298896226
14786,3,9634,03-01-2024 23:12:16,,49664,1040769841,1190936173
14880,3,4343,04-01-2024 08:49:11,,15049,1196340920,1393078924
14849,3,7145,04-01-2024 04:47:16,,29564,269849645,333628406
14899,3,4992,04-01-2024 10:44:46,,8114,497793886,523299253
14861,3,6617,04-01-2024 06:29:35,,23425,1303233356,1351950211
14928,3,7938,04-01-2024 12:34:27,,1533,20833045,27005440
14826,3,6213,04-01-2024 03:11:45,,35295,724799080,805609031
14916,3,8160,04-01-2024 11:51:50,,4090,183622802,269200443
14842,3,9919,04-01-2024 04:22:41,,31039,1950075239,2733212753
14803,3,7493,04-01-2024 00:50:52,,43748,206725795,243260826
14920,3,8739,04-01-2024 12:19:53,,2407,353421327,702164809
14784,3,8143,03-01-2024 23:09:33,,49827,2713571489,2893783242
14750,3,7410,03-01-2024 18:58:13,,64907,2270373708,3028864045
