"IdSubscriber","date","Hour","UpTx","DownTx","is_hacked"
4705,"2024-01-04",9,3857440,3973581,FALSE
5902,"2024-01-04",9,15727461,22384015,FALSE
8739,"2024-01-04",9,0,0,FALSE
6832,"2024-01-04",9,1042587,1384458,FALSE
7189,"2024-01-04",9,13732941,28124875,FALSE
4705,"2024-01-04",9,15750021,16688202,FALSE
5902,"2024-01-04",9,42151391,48601267,FALSE
4433,"2024-01-04",9,98405325,232778116,FALSE
8739,"2024-01-04",9,68336825,202347005,FALSE
8417,"2024-01-04",9,1719855,1980564,FALSE
6239,"2024-01-04",9,91733,102066,FALSE
6832,"2024-01-04",9,923260,934291,FALSE
7189,"2024-01-04",9,286605754,669744449,FALSE
4705,"2024-01-04",9,6269604,9149258,FALSE
5902,"2024-01-04",9,73156552,77294939,FALSE
4586,"2024-01-04",9,753931,955362,FALSE
4538,"2024-01-04",9,143734,167073,FALSE
4433,"2024-01-04",9,257094331,533079445,FALSE
7938,"2024-01-04",9,1612781,2056314,FALSE
8739,"2024-01-04",9,227622910,463171595,FALSE
8417,"2024-01-04",9,13879366,14754141,FALSE
4011,"2024-01-04",9,5178942,6147799,FALSE
8483,"2024-01-04",9,1095767,1458387,FALSE
6454,"2024-01-04",9,4743576,6585185,FALSE
6239,"2024-01-04",9,615316,883093,FALSE
6832,"2024-01-04",9,21369883,24274014,FALSE
7189,"2024-01-04",9,555108249,1064310237,FALSE
4705,"2024-01-04",9,12114274,13208561,FALSE
5902,"2024-01-04",9,92083668,97825124,FALSE
4586,"2024-01-04",9,2734995,3973622,FALSE
4538,"2024-01-04",9,909217,1362757,FALSE
4433,"2024-01-04",9,411935730,924108994,FALSE
7938,"2024-01-04",9,9196632,10180214,FALSE
8739,"2024-01-04",9,239969325,658899823,FALSE
8417,"2024-01-04",9,1451678,1946437,FALSE
4011,"2024-01-04",9,1332141,1641321,FALSE
8483,"2024-01-04",9,16217391,22048949,FALSE
6454,"2024-01-04",9,31190123,38959463,FALSE
6239,"2024-01-04",9,2355361,3335769,FALSE
6832,"2024-01-04",9,5586041,6307329,FALSE
4199,"2024-01-04",9,1042854,1330880,FALSE
7189,"2024-01-04",9,636402823,1684066918,FALSE
6160,"2024-01-04",9,1148660,1661457,FALSE
4705,"2024-01-04",9,43474727,64170925,FALSE
5902,"2024-01-04",9,97896219,139790495,FALSE
6954,"2024-01-04",9,3725903,4864203,FALSE
4586,"2024-01-04",9,20182909,25497227,FALSE
4538,"2024-01-04",9,3358859,4075814,FALSE
4433,"2024-01-04",9,612542368,1422123882,FALSE
7938,"2024-01-04",9,20833045,27005440,FALSE
8739,"2024-01-04",9,353421327,702164809,FALSE
8417,"2024-01-04",9,2607606,3659442,FALSE
4011,"2024-01-04",9,11506166,17181967,FALSE
8483,"2024-01-04",9,9544314,13663347,FALSE
6454,"2024-01-04",9,70654102,102628969,FALSE
6239,"2024-01-04",9,9553615,13435434,FALSE
6832,"2024-01-04",9,4659171,6946833,FALSE
4199,"2024-01-04",9,6535460,8188382,FALSE
7189,"2024-01-04",9,1002110180,2004446720,FALSE
6160,"2024-01-04",9,5907135,8575877,FALSE
4705,"2024-01-04",9,16574704,23590524,FALSE
5902,"2024-01-04",9,108625434,159703354,FALSE
6954,"2024-01-04",9,50455096,52893045,FALSE
4586,"2024-01-04",9,12532559,18079935,FALSE
4538,"2024-01-04",9,14774221,14782202,FALSE
4433,"2024-01-04",9,812271328,1517237499,FALSE
7938,"2024-01-04",9,9489596,13294519,FALSE
8739,"2024-01-04",9,469777996,1237876843,FALSE
8417,"2024-01-04",9,22748829,25048673,FALSE
4011,"2024-01-04",9,10886926,11797096,FALSE
8483,"2024-01-04",9,14713930,16506659,FALSE
6454,"2024-01-04",9,75951687,95533565,FALSE
6239,"2024-01-04",9,6366213,8099649,FALSE
6832,"2024-01-04",9,19164469,25762756,FALSE
4199,"2024-01-04",9,10659222,12884164,FALSE
7189,"2024-01-04",9,1014163838,2875722085,FALSE
6160,"2024-01-04",9,14261620,15983515,FALSE
4705,"2024-01-04",9,49130442,64461819,FALSE
5902,"2024-01-04",9,118357040,174426754,FALSE
6954,"2024-01-04",9,21860857,22572336,FALSE
4586,"2024-01-04",9,19918876,23397198,FALSE
4538,"2024-01-04",9,1982308,2690857,FALSE
4433,"2024-01-04",9,853729366,2306354446,FALSE
7938,"2024-01-04",9,48800739,54654390,FALSE
8739,"2024-01-04",9,456333090,1104758565,FALSE
8417,"2024-01-04",9,32455107,42980996,FALSE
4011,"2024-01-04",9,24148987,32001008,FALSE
8483,"2024-01-04",9,53549778,56856029,FALSE
6454,"2024-01-04",9,102055727,133924978,FALSE
6239,"2024-01-04",9,11333226,11756278,FALSE
6832,"2024-01-04",9,16118945,20757956,FALSE
4199,"2024-01-04",9,11511049,17219561,FALSE
7189,"2024-01-04",9,1345065706,3138569399,FALSE
6160,"2024-01-04",9,19290143,23127159,FALSE
4705,"2024-01-04",9,16166558,17890593,FALSE
5902,"2024-01-04",9,163772823,227528105,FALSE
6954,"2024-01-04",9,17630264,19164920,FALSE
4586,"2024-01-04",9,10769535,13126849,FALSE
4538,"2024-01-04",9,33911579,36015495,FALSE
4433,"2024-01-04",9,1106457291,2960900318,FALSE
7938,"2024-01-04",9,43546817,45133753,FALSE
8739,"2024-01-04",9,535554372,1389114624,FALSE
8417,"2024-01-04",9,17198634,24244645,FALSE
4011,"2024-01-04",9,16518141,22641643,FALSE
8483,"2024-01-04",9,21396541,30312931,FALSE
6454,"2024-01-04",9,127778392,179034388,FALSE
6239,"2024-01-04",9,17771527,18166504,FALSE
6832,"2024-01-04",9,9679740,10196392,FALSE
4199,"2024-01-04",9,13286861,13446759,FALSE
7189,"2024-01-04",9,1631281383,3270925468,FALSE
6160,"2024-01-04",9,20774446,30961491,FALSE
4705,"2024-01-04",9,36995100,42993676,FALSE
5902,"2024-01-04",9,195966375,205821872,FALSE
6954,"2024-01-04",9,36915255,54533883,FALSE
4586,"2024-01-04",9,66587997,67494690,FALSE
4538,"2024-01-04",9,15635891,23402223,FALSE
4433,"2024-01-04",9,1467662281,2912738138,FALSE
7938,"2024-01-04",9,29110732,41042412,FALSE
8739,"2024-01-04",9,718725779,1707452675,FALSE
8417,"2024-01-04",9,19838640,21648346,FALSE
4011,"2024-01-04",9,25123959,26744455,FALSE
8483,"2024-01-04",9,70345516,73125343,FALSE
6454,"2024-01-04",9,154630734,209154790,FALSE
6239,"2024-01-04",9,3572572,4044327,FALSE
6832,"2024-01-04",9,21837782,22982567,FALSE
4199,"2024-01-04",9,19364914,19936826,FALSE
7189,"2024-01-04",9,1583297432,4380187721,FALSE
6160,"2024-01-04",9,31319153,34819504,FALSE
4705,"2024-01-04",9,18200388,23836316,FALSE
5902,"2024-01-04",9,194485290,254168622,FALSE
6954,"2024-01-04",9,29965869,30282654,FALSE
4586,"2024-01-04",9,2444482,3267129,FALSE
4538,"2024-01-04",9,24224639,30180374,FALSE
4433,"2024-01-04",9,1181559707,2955535121,FALSE
7938,"2024-01-04",9,44483342,55824360,FALSE
8739,"2024-01-04",9,1046710544,2007209314,FALSE
8417,"2024-01-04",9,25434224,27064104,FALSE
4011,"2024-01-04",9,15714915,18340264,FALSE
8483,"2024-01-04",9,73866462,88025648,FALSE
6454,"2024-01-04",9,148726842,212410860,FALSE
6239,"2024-01-04",9,7286070,7873196,FALSE
6832,"2024-01-04",9,5290350,6548434,FALSE
4199,"2024-01-04",9,27703241,31147273,FALSE
7189,"2024-01-04",9,1881776558,5417415200,FALSE
6160,"2024-01-04",9,51101393,51963593,FALSE
4705,"2024-01-04",9,38632611,51376369,FALSE
5902,"2024-01-04",9,220086509,318258783,FALSE
6954,"2024-01-04",9,53859367,79635641,FALSE
4586,"2024-01-04",9,13519729,20129482,FALSE
4538,"2024-01-04",9,32940705,38808607,FALSE
4433,"2024-01-04",9,1252988545,3703162154,FALSE
7938,"2024-01-04",9,46541073,59467366,FALSE
8739,"2024-01-04",9,957780321,2227330312,FALSE
8417,"2024-01-04",9,34187203,35499988,FALSE
4011,"2024-01-04",9,48701305,51716899,FALSE
8483,"2024-01-04",9,33733935,38930139,FALSE
6454,"2024-01-04",9,243516090,262498953,FALSE
6239,"2024-01-04",9,15364496,18212723,FALSE
6832,"2024-01-04",9,60441131,67794911,FALSE
4199,"2024-01-04",9,64579350,66582354,FALSE
7189,"2024-01-04",9,1979722196,5689507083,FALSE
6160,"2024-01-04",9,48002373,59849247,FALSE
4705,"2024-01-04",9,78832864,95906940,FALSE
5902,"2024-01-04",9,254652799,322474852,FALSE
6954,"2024-01-04",9,176087412,195241287,FALSE
4586,"2024-01-04",9,18665718,23514310,FALSE
4538,"2024-01-04",9,7200885,9056065,FALSE
4433,"2024-01-04",9,1782359940,3668896049,FALSE
7938,"2024-01-04",9,66658808,68607914,FALSE
8739,"2024-01-04",9,1222722692,3114395138,FALSE
8417,"2024-01-04",9,12548221,13465866,FALSE
4011,"2024-01-04",9,25375815,31459953,FALSE
8483,"2024-01-04",9,72314904,80293430,FALSE
6454,"2024-01-04",9,237347041,264919328,FALSE
6239,"2024-01-04",9,5303804,7285647,FALSE
6832,"2024-01-04",9,5643234,6252642,FALSE
4199,"2024-01-04",9,41005622,42447111,FALSE
7189,"2024-01-04",9,2124247381,5826334119,FALSE
6160,"2024-01-04",9,46913547,58943855,FALSE
4705,"2024-01-04",9,17218109,25246321,FALSE
5902,"2024-01-04",9,356101344,369598323,FALSE
6954,"2024-01-04",9,82728680,84758929,FALSE
4586,"2024-01-04",9,20571064,28321459,FALSE
4538,"2024-01-04",9,13351745,17693416,FALSE
4433,"2024-01-04",9,1934776395,4196020008,FALSE
7938,"2024-01-04",9,124638014,150224509,FALSE
8739,"2024-01-04",9,1441409166,2710908112,FALSE
8417,"2024-01-04",9,84121449,116533825,FALSE
4011,"2024-01-04",9,15393418,21636821,FALSE
8483,"2024-01-04",9,53014690,73217877,FALSE
6454,"2024-01-04",9,285356529,334869809,FALSE
6239,"2024-01-04",9,26965007,28710648,FALSE
6832,"2024-01-04",9,38565997,53811798,FALSE
4199,"2024-01-04",9,34692656,37589097,FALSE
7189,"2024-01-04",9,3350503008,6332653381,FALSE
6160,"2024-01-04",9,42935338,62199058,FALSE
4705,"2024-01-04",9,66619357,78104454,FALSE
5902,"2024-01-04",9,279924041,331371885,FALSE
6954,"2024-01-04",9,74405053,74521029,FALSE
4586,"2024-01-04",9,36782061,51660347,FALSE
4538,"2024-01-04",9,47022275,47472718,FALSE
4433,"2024-01-04",9,1985055424,4319361440,FALSE
7938,"2024-01-04",9,94285239,100794130,FALSE
8739,"2024-01-04",9,1286192386,2955805431,FALSE
