IdSession,IdPSX,IdSubscriber,StartSession,EndSession,Duartion,UpTx,DownTx,date
3706,3,4187,2023-12-31T20:29:47Z,NA,2413,12916113,16327385,2023-12-31
9263,3,8532,2023-12-31T13:00:53Z,NA,29347,606031777,639010646,2023-12-31
13944,3,3817,2023-12-31T20:50:24Z,NA,1176,36434651,53631563,2023-12-31
9266,3,7687,2023-12-31T18:59:58Z,NA,7802,37166558,38211342,2023-12-31
13947,3,7392,2023-12-31T10:23:45Z,NA,38775,2862039982,3694502079,2023-12-31
6837,3,6335,2023-12-31T10:29:05Z,NA,38455,2274442686,3274818232,2023-12-31
13948,3,3995,2023-12-31T12:42:51Z,NA,30429,214482744,215988451,2023-12-31
13949,3,6736,2023-12-31T15:47:15Z,NA,19365,522520050,541534800,2023-12-31
6840,3,4054,2023-12-31T18:17:26Z,01-01-2024 00:07:52,10226,526631022,560829752,2023-12-31
9272,3,5928,2023-12-31T14:21:04Z,NA,24536,710043828,852383317,2023-12-31
3719,3,8919,2023-12-31T14:38:29Z,NA,23491,510463109,675157818,2023-12-31
8511,3,9583,2023-12-31T09:20:43Z,NA,42557,1362194356,1448152417,2023-12-31
3721,3,7037,2023-12-31T10:57:47Z,NA,36733,176432692,195531121,2023-12-31
13953,3,4433,2023-12-31T10:21:57Z,NA,38883,11507197753,24736548015,2023-12-31
13954,3,6680,2023-12-31T13:35:52Z,NA,27248,730006952,828630092,2023-12-31
6844,3,8862,2023-12-31T15:27:29Z,NA,20551,1231757528,1587046142,2023-12-31
3724,3,4207,2023-12-31T19:45:45Z,NA,5055,136056078,142382606,2023-12-31
13960,3,9601,2023-12-31T10:29:49Z,NA,38411,2033083441,2719780804,2023-12-31
9285,3,7145,2023-12-31T09:05:44Z,NA,43456,1159447720,1507873293,2023-12-31
9286,3,7007,2023-12-31T17:06:01Z,NA,14639,350158204,412318491,2023-12-31
13968,3,9919,2023-12-31T10:21:10Z,NA,38930,2363281028,2517207571,2023-12-31
13969,3,9040,2023-12-31T18:43:07Z,NA,8813,17238290,21383485,2023-12-31
8519,3,6892,2023-12-31T19:36:55Z,NA,5585,366043171,477130729,2023-12-31
13971,3,8739,2023-12-31T10:57:02Z,NA,36778,7313555805,19382968166,2023-12-31
9295,3,8872,2023-12-31T10:15:25Z,NA,39275,2643071693,3417091651,2023-12-31
13972,3,7513,2023-12-31T10:51:26Z,NA,37114,11977055759,24269918045,2023-12-31
13974,3,6646,2023-12-31T18:24:16Z,NA,9944,805604521,821824241,2023-12-31
8520,3,6579,2023-12-31T17:44:28Z,NA,12332,55428489,61114311,2023-12-31
6850,3,7013,2023-12-31T11:48:31Z,NA,33689,667276065,840945910,2023-12-31
13978,3,8861,2023-12-31T20:59:20Z,NA,640,7904436,10662802,2023-12-31
13980,3,4817,2023-12-31T11:34:10Z,NA,34550,1518236587,1864873344,2023-12-31
